Day,AMPM,Time,Activity,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
11,PM,3:00-4:00,checkin,1,1,1,1,1,1,1,1,1,1,1,1
11,PM,4:00-4:20,talkintro,1,1,1,1,1,1,1,1,1,1,1,1
11,PM,4:20-5:00,team,1,1,1,1,1,1,1,1,1,1,1,1
11,PM,5:00-6:00,groupcomp,1,1,1,1,1,1,1,1,1,1,1,1
12,AM,10:00-10:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
12,PM,12:00-1:30,lunch,1,1,1,1,1,1,1,1,1,1,1,1
12,PM,1:30-2:00,talkkovar,1,1,1,1,1,1,1,1,1,1,1,1
12,PM,2:00-2:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
12,PM,2:30-4:00,pdafternoon,1,1,1,1,1,1,1,1,1,1,1,1
13,AM,10:00-10:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
13,PM,12:00-1:30,lunch,1,1,1,1,1,1,1,1,1,1,1,1
13,PM,1:30-3:00,dusable,1,1,1,1,1,1,1,1,1,1,1,1
13,PM,3:00-4:00,talkstar,1,1,1,1,1,1,1,1,1,1,1,1
16,AM,10:00-10:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
16,PM,12:00-1:30,lunch,1,1,1,1,1,1,1,1,1,1,1,1
16,PM,3:00-3:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
17,AM,10:00-10:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
17,PM,12:00-1:30,lunch,1,1,1,1,1,1,1,1,1,1,1,1
17,PM,3:00-3:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
18,AM,10:00-10:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
18,PM,12:00-1:30,lunch,1,1,1,1,1,1,1,1,1,1,1,1
18,PM,3:00-3:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
18,PM,5:15-5:45,wrapup,1,1,1,1,1,1,1,1,1,1,1,1
18,PM,5:45-7:30,reception,1,1,1,1,1,1,1,1,1,1,1,1